CUSTOMER_ID,PRODUCTTYPE_ID,CURRENCY_ISO,CUSTOMER_SEGMENT,YIELD,DAYS_TO_MATURITY,AMOUNT_CHF(000),FULLNAME,TRADE_DATE,INDEX
STRING,STRING,STRING,STRING,REAL,INT,INT,STRING,DATE,STRING
21,276,AUD,AAA,7.224,1002,250,AUD Eurobonds Secondary,1996-02-01,T00001
21,276,AUD,AAA,7.266,1044,227,AUD Eurobonds Secondary,1996-02-01,T00002
21,276,AUD,AAA,7.266,1044,227,AUD Eurobonds Secondary,1996-02-01,T00003
21,276,AUD,AAA,7.428,1068,227,AUD Eurobonds Secondary,1996-02-01,T00004
53,156,CAD,AAA,6.169,981,176,CAD Eurobonds Secondary,1996-02-01,T00005
12,156,CAD,AAA,5.926,1072,114,CAD Eurobonds Secondary,1996-02-01,T00006
1,2,CHF,AAA,2.052,318,3000,CHF Domestic  Bond Secondary,1996-02-01,T00007
96,2,CHF,BBB,3.796,370,275,CHF Domestic  Bond Secondary,1996-02-01,T00008
96,2,CHF,BBB,3.547,594,110,CHF Domestic  Bond Secondary,1996-02-01,T00009
13,2,CHF,AAA,2.653,1100,500,CHF Domestic  Bond Secondary,1996-02-01,T00010
361,2,CHF,CCC,3.623,1702,100,CHF Domestic  Bond Secondary,1996-02-01,T00011
21,2,CHF,AAA,3.554,1841,100,CHF Domestic  Bond Secondary,1996-02-01,T00012
55,2,CHF,AAA,3.89,2045,1300,CHF Domestic  Bond Secondary,1996-02-01,T00013
96,2,CHF,BBB,3.796,2206,500,CHF Domestic  Bond Secondary,1996-02-01,T00014
10,2,CHF,AAA,3.956,2471,10000,CHF Domestic  Bond Secondary,1996-02-01,T00015
361,2,CHF,CCC,4.579,2581,100,CHF Domestic  Bond Secondary,1996-02-01,T00016
361,2,CHF,CCC,4.204,2609,50,CHF Domestic  Bond Secondary,1996-02-01,T00017
224,2,CHF,DDD,4.218,2904,500,CHF Domestic  Bond Secondary,1996-02-01,T00018
338,2,CHF,DDD,4.282,3602,500,CHF Domestic  Bond Secondary,1996-02-01,T00019
224,2,CHF,DDD,4.307,3602,1000,CHF Domestic  Bond Secondary,1996-02-01,T00020
135,5,CHF,EEE,4.383,1817,20000,CHF European Government,1996-02-01,T00021
10,5,CHF,AAA,4.409,1817,20000,CHF European Government,1996-02-01,T00022
10,5,CHF,AAA,3.905,2532,10000,CHF European Government,1996-02-01,T00023
350,5,CHF,DDD,4.123,3171,1250,CHF European Government,1996-02-01,T00024
337,5,CHF,DDD,4.312,3262,500,CHF European Government,1996-02-01,T00025
135,5,CHF,EEE,4.21,3262,20000,CHF European Government,1996-02-01,T00026
10,5,CHF,AAA,4.501,3509,15000,CHF European Government,1996-02-01,T00027
334,5,CHF,DDD,4.261,3719,1000,CHF European Government,1996-02-01,T00028
354,5,CHF,DDD,4.274,3719,1900,CHF European Government,1996-02-01,T00029
329,5,CHF,FFF,4.279,3719,4700,CHF European Government,1996-02-01,T00030
104,5,CHF,EEE,4.279,3719,5000,CHF European Government,1996-02-01,T00031
2066,3,CHF,AAA,2.877,1292,20000,CHF Foreign  Bond Primary,1996-02-01,T00032
14,3,CHF,AAA,3.073,1769,210,CHF Foreign  Bond Primary,1996-02-01,T00033
187,3,CHF,CCC,3.094,1769,7780,CHF Foreign  Bond Primary,1996-02-01,T00034
14,3,CHF,AAA,3.516,1846,150,CHF Foreign  Bond Primary,1996-02-01,T00035
81,3,CHF,CCC,3.425,1848,20,CHF Foreign  Bond Primary,1996-02-01,T00036
346,3,CHF,CCC,4.129,2590,2000,CHF Foreign  Bond Primary,1996-02-01,T00037
347,3,CHF,CCC,4.408,3661,1150,CHF Foreign  Bond Primary,1996-02-01,T00038
347,3,CHF,CCC,4.432,3667,1000,CHF Foreign  Bond Primary,1996-02-01,T00039
406,4,CHF,GGG,2.323,138,3000,CHF Foreign  Bond Secondary,1996-02-01,T00040
